// ID,Sprite_Name,kROName,iROName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,aDelay,aMotion,dMotion,MEXP,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper,HExp
1012,RODA_FROG,Roda Frog,Roda Frog,13,1742,1,205,378,1,64,128,12,3,9,5,6,1,10,5,10,12,1,5,21,0x81,200,2016,816,288,0,0,0,0,0,0,0,918,9000,908,500,0,0,721,7,713,2000,0,0,0,0,0,0,0,0,0,0,447
1107,DESERT_WOLF_B,Desert Wolf Baby,Baby Desert Wolf,14,1834,1,220,407,1,66,132,13,3,9,5,6,1,10,6,10,12,0,2,23,0x1081,300,1600,900,240,0,0,0,0,0,0,0,1010,85,919,5500,0,0,6252,200,0,0,0,0,0,0,0,0,0,0,0,0,481
1167,SAVAGE_BABE,Savage Babe,Savage Babe,14,1834,1,220,407,1,66,132,13,3,9,5,6,1,10,6,10,12,0,2,22,0x81,400,1624,624,576,0,0,0,0,0,0,0,919,9000,0,0,0,0,6249,1,949,850,1010,80,627,40,0,0,0,0,0,0,481
1052,ROCKER,Rocker,Rocker,15,2017,1,236,436,1,72,144,14,3,10,5,7,1,11,6,10,12,1,4,22,0x2000081,200,1864,864,540,0,0,0,0,0,0,0,940,9000,0,0,0,0,0,0,0,0,752,10,703,10,0,0,0,0,0,0,515
1027,RAPTICE,Raptice,Raptice,17,2292,0,268,494,1,80,160,16,4,11,6,8,1,12,7,10,12,1,2,22,0x131,200,2000,1000,500,0,0,0,0,0,0,0,909,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584
1024,WORM_TAIL,Wormtail,Wormtail,17,2292,1,268,494,1,80,160,16,4,11,6,8,1,12,7,10,12,1,3,22,0x91,200,1048,48,192,0,0,0,0,0,0,0,993,60,1011,25,906,5500,0,0,0,0,721,5,0,0,0,0,0,0,0,0,584
1025,SNAKE,Snake,Boa,18,2384,1,284,523,1,86,172,17,4,12,6,8,1,13,7,10,12,1,2,22,0x81,200,1576,576,576,0,0,0,0,0,0,0,926,9000,0,0,0,0,1011,35,937,800,954,1,0,0,0,0,0,0,0,0,618
1014,SPORE,Spore,Spore,18,2384,1,284,523,1,86,172,17,4,12,6,8,1,13,7,10,12,1,3,21,0x81,200,1872,672,288,0,0,0,0,0,0,0,921,9000,0,0,0,0,743,10,0,0,7033,5,0,0,0,0,0,0,0,0,618
1094,AMBERNITE,Ambernite,Ambernite,19,2475,1,299,552,1,89,178,17,4,12,6,8,1,14,8,10,12,2,4,21,0x2000091,400,2048,648,648,0,0,0,0,0,0,0,991,50,946,9000,910,1200,935,3000,943,2,757,14,1002,150,0,0,0,0,0,0,653
1174,STAINER,Stainer,Stainer,21,2750,1,322,322,1,100,200,19,4,14,7,9,1,15,8,10,12,0,4,24,0x2000091,200,1688,1188,612,0,0,0,0,0,0,0,992,70,1011,30,1013,9000,910,2100,757,25,943,10,1002,300,0,0,0,0,0,0,535
1051,THIEF_BUG,Thief Bug,Thief Bug,21,2750,1,322,322,1,100,200,19,4,14,7,9,1,15,8,10,12,0,4,60,0x2001083,150,1288,288,768,0,0,0,0,0,0,0,955,2500,0,0,0,0,909,2000,0,0,1002,250,0,0,0,0,0,0,0,0,535
1175,TAROU,Tarou,Tarou,22,2934,1,338,338,1,102,205,20,5,14,7,10,1,16,9,10,12,0,2,27,0x91,150,1744,1044,684,0,0,0,0,0,0,0,1016,9000,919,3000,949,800,0,0,701,2,0,0,0,0,0,0,0,0,0,0,561
1055,MUKA,Muka,Muka,23,3025,1,353,353,1,108,217,21,5,15,8,10,1,17,9,10,12,2,3,22,0x81,300,1960,960,384,0,0,0,0,0,0,0,993,70,952,9000,713,2000,0,0,0,0,0,0,1002,250,0,0,0,0,0,0,587
1018,CREAMY,Creamy,Creamy,23,3025,1,353,353,1,108,217,21,5,15,8,10,1,17,9,10,12,0,4,24,0x2000081,150,1136,720,840,0,0,0,0,0,0,0,924,9000,0,0,0,0,0,0,0,0,712,500,0,0,0,0,0,0,0,0,587
1103,CARAMEL,Caramel,Caramel,25,3300,1,384,384,1,116,233,23,5,16,8,11,1,18,10,10,12,0,2,22,0x91,200,1604,840,756,0,0,0,0,0,0,0,1027,9000,0,0,919,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638
1019,PECOPECO,Peco Peco,Peco Peco,25,3300,1,384,384,1,116,233,23,5,16,8,11,1,18,10,10,12,2,2,23,0x1089,200,1564,864,576,0,0,0,0,0,0,0,925,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638
1089,TOAD,Toad,Toad,27,3575,1,414,414,1,125,250,25,6,17,9,12,1,19,11,10,12,1,5,21,0x0203695,200,1236,336,432,0,0,0,0,0,0,0,0,0,0,0,729,1000,7938,500,970,100,971,100,0,0,0,0,0,0,0,0,689
1056,SMOKIE,Smokie,Smokie,29,3850,1,445,445,1,136,273,27,6,19,9,13,1,21,11,10,12,0,2,22,0x91,200,1576,576,420,0,0,0,0,0,0,0,945,5500,919,5500,0,0,0,0,754,2,912,5,729,2,0,0,0,0,0,0,740
1060,BIGFOOT,Bigfoot,Bigfoot,29,3850,1,445,445,1,136,273,27,6,19,9,13,1,21,11,10,12,2,2,22,0x91,300,1260,192,192,0,0,0,0,0,0,0,948,9000,0,0,919,5000,740,80,0,0,0,0,756,43,0,0,0,0,0,0,740
1031,POPORING,Poporing,Poporing,30,3942,1,460,460,1,138,277,28,6,19,10,13,1,21,12,10,12,1,3,25,0x83,300,1672,672,480,0,0,0,0,0,0,0,938,5500,910,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765
1105,DENIRO,Deniro,Deniro,31,4125,1,462,520,1,144,289,29,6,20,10,14,1,22,12,10,12,0,4,22,0x2001081,150,1288,288,576,0,0,0,0,0,0,0,955,9000,910,3000,938,1200,990,50,1001,8,1002,450,757,34,0,0,0,0,0,0,791
1093,ECLIPSE,Eclipse,Eclipse,31,4125,1,462,520,1,144,289,29,6,20,10,14,1,22,12,10,12,1,2,60,0x0203695,200,1456,456,336,0,0,0,0,0,0,0,0,0,0,0,727,1200,7938,500,706,30,622,50,0,0,0,0,0,0,0,0,791
1128,HORN,Horn,Horn,32,4217,1,477,537,1,146,292,30,7,20,10,14,1,23,12,10,12,1,4,22,0x2000091,200,1528,528,288,0,0,0,0,0,0,0,993,80,1011,35,947,5500,0,0,935,5500,943,70,0,0,0,0,0,0,0,0,816
1160,PIERE,Piere,Piere,32,4217,1,477,537,1,146,292,30,7,20,10,14,1,23,12,10,12,0,4,22,0x2001081,200,1288,288,576,0,0,0,0,0,0,0,955,9000,910,1100,938,600,992,30,1001,5,1002,400,757,31,0,0,0,0,0,0,816
1068,HYDRA,Hydra,Hydra,34,4492,1,507,570,7,158,317,32,7,22,11,15,1,24,13,10,12,0,3,41,0x84,1000,800,432,600,0,0,0,0,0,0,0,1011,25,962,5500,938,1500,971,20,0,0,0,0,0,0,0,0,0,0,0,0,867
1176,VITATA,Vitata,Vitata,35,4584,1,522,587,1,162,324,32,7,22,11,15,1,25,14,10,12,0,4,22,0x2000091,300,1768,768,384,0,0,0,0,0,0,0,993,90,955,5000,911,200,0,0,0,0,0,0,756,26,0,0,0,0,0,0,893
1265,COOKIE,Cookie,Cookie,35,4584,1,522,587,1,162,324,32,7,22,11,15,1,25,14,10,12,0,7,60,0x1089,200,1036,936,240,0,0,0,0,0,0,0,0,0,0,0,7938,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,893
1242,MARIN,Marin,Marin,37,4859,1,552,621,1,172,345,34,7,24,12,16,1,26,14,10,12,1,3,41,0x83,400,1872,672,480,0,0,0,0,0,0,0,910,3200,938,1500,0,0,720,40,0,0,0,0,0,0,0,0,0,0,0,0,944
1057,YOYO,Yoyo,Yoyo,38,4950,1,566,637,1,175,351,35,8,24,12,16,1,27,15,10,12,0,2,22,0x108B,200,1054,54,384,0,0,0,0,0,0,0,942,9000,0,0,0,0,7182,900,753,10,756,24,0,0,0,0,0,0,0,0,969
1104,COCO,Coco,Coco,38,4950,1,566,637,1,175,351,35,8,24,12,16,1,27,15,10,12,0,2,22,0x91,150,1864,864,1008,0,0,0,0,0,0,0,1026,9000,0,0,914,3000,919,2500,0,0,0,0,0,0,0,0,0,0,0,0,969
1145,MARTIN,Martin,Martin,39,5134,1,581,654,1,181,363,36,8,25,13,17,1,28,15,10,12,0,2,42,0x81,300,1480,480,480,0,0,0,0,0,0,0,1017,9000,1018,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,995
1249,MYSTCASE,Myst Case,Myst Case,39,5134,1,581,654,1,181,363,36,8,25,13,17,1,28,15,10,12,1,0,60,0x91,400,1248,1248,432,0,0,0,0,0,0,0,0,0,7938,10,603,20,0,0,722,150,731,5,0,0,0,0,0,0,0,0,995
1034,THARA_FROG,Thara Frog,Thara Frog,40,5225,1,596,671,1,182,364,37,8,25,13,17,1,28,15,10,12,1,5,41,0x81,200,2016,816,288,0,0,0,0,0,0,0,1011,45,908,5500,911,600,0,0,725,5,918,2000,0,0,0,0,0,0,0,0,1020
1121,GIEARTH,Giearth,Giearth,42,5500,1,708,767,1,195,391,39,8,27,14,18,1,30,16,10,12,0,6,22,0x2000091,200,1848,1296,432,0,0,0,0,0,0,0,997,30,1003,150,1040,5500,0,0,0,0,1001,100,0,0,0,0,0,0,0,0,1071
1023,ORK_WARRIOR,Orc Warrior,Orc Warrior,44,5775,1,741,803,1,203,407,41,9,28,14,19,1,31,17,10,12,1,7,22,0x3885,200,1864,864,288,0,0,0,0,0,0,0,998,210,931,9000,756,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123
1013,WOLF,Wolf,Wolf,45,5867,1,758,821,1,209,419,41,9,29,14,19,1,32,17,10,12,1,2,22,0x1089,200,1054,504,432,0,0,0,0,0,0,0,1011,20,920,9000,0,0,0,0,0,0,919,5500,0,0,0,0,0,0,0,0,1148
1064,MEGALODON,Megalodon,Megalodon,46,6050,1,775,840,1,212,424,43,9,29,15,20,1,33,18,10,12,1,1,29,0x81,200,2492,792,432,0,0,0,0,0,0,0,959,5500,932,1500,0,0,717,120,719,10,603,2,624,20,0,0,0,0,0,0,1174
1100,ARGOS,Argos,Argos,47,6142,1,792,858,1,217,435,43,9,30,15,20,1,33,18,10,12,2,4,25,0x2003095,300,1468,468,768,0,0,0,0,0,0,0,1025,9000,911,1200,1042,500,757,61,0,0,0,0,0,0,0,0,0,0,0,0,1199
1254,RAGGLER,Raggler,Raggler,48,6325,1,809,876,1,219,438,45,10,30,15,21,1,34,18,10,12,0,2,24,0x3695,150,1000,900,384,0,0,0,0,0,0,0,7053,3000,916,5000,645,200,0,0,992,90,0,0,756,32,0,0,0,0,0,0,1225
30119,Genin_Konoha,Genin Konoha,Genin Konoha,50,36225,1,843,913,1,226,452,45,18,32,16,19,20,40,18,10,12,1,7,80,0x2003695,100,1000,720,200,0,0,0,0,0,0,0,2002,1000,3002,5000,5002,5000,8000,5000,0,0,0,0,0,0,0,0,0,0,0,0,1276
1041,MUMMY,Mummy,Mummy,50,14050,1,843,913,1,231,463,46,10,32,16,21,1,35,19,10,12,1,1,49,0x3885,300,1772,72,384,0,0,0,0,0,0,0,930,9000,756,100,934,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276
1016,ARCHER_SKELETON,Archer Skeleton,Archer Skeleton,50,39050,1,843,913,9,231,463,46,10,32,16,21,1,35,19,10,12,1,1,29,0x2085,300,2864,864,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276
1138,MAGNOLIA,Magnolia,Magnolia,53,41800,1,893,1065,1,616,1232,49,11,34,17,23,2,38,20,10,12,0,6,21,0x2000083,200,1054,504,432,0,0,0,0,0,0,0,7031,9000,910,800,911,100,912,10,737,40,0,0,0,0,0,0,0,0,0,0,1352
1170,SOHEE,Sohee,Sohee,54,17350,1,910,1085,1,621,1242,50,11,34,17,23,2,38,21,10,12,1,6,21,0x2000091,250,2112,912,576,0,0,0,0,0,0,0,1020,9000,1049,50,0,0,0,0,0,0,0,0,662,350,0,0,0,0,0,0,1378
30036,Choji,Choji,Choji,55,39900,1,927,1105,1,623,1246,49,20,35,18,21,22,44,20,10,12,1,7,80,0x6003695,180,1000,500,768,0,0,0,0,0,0,0,10031,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1403
1283,CHIMERA,Chimera,Chimera,57,19550,1,961,1145,1,656,1312,52,12,36,18,24,2,40,22,10,12,2,2,63,0x6203695,200,772,672,360,0,0,0,0,0,0,0,7054,5335,1048,2500,0,0,0,0,7295,1500,0,0,984,160,0,0,0,0,0,0,1454
1119,FRILLDORA,Frilldora,Frilldora,57,44550,1,961,1145,1,656,1312,52,12,36,18,24,2,40,22,10,12,1,2,23,0x3885,300,1540,720,432,0,0,0,0,0,0,0,1012,5500,757,90,903,1500,721,15,715,200,0,0,912,120,0,0,0,0,0,0,1454
30084,Shikamaru,Shikamaru,Shikamaru,60,43575,1,1011,1205,1,680,1360,54,21,38,19,23,24,48,22,10,12,1,7,80,0x6003695,180,1000,864,432,0,0,0,0,0,0,0,10079,1500,2039,100,3027,100,5027,100,0,0,0,0,0,0,0,0,0,0,0,0,1531
30120,Genin_Suna,Genin Suna,Genin Suna,60,43575,0,1011,1205,1,680,1360,54,21,38,19,23,24,48,22,10,12,1,7,80,0x0203695,180,1152,384,288,0,0,0,0,0,0,0,2003,1000,3002,5000,5002,5000,8000,5000,0,0,0,0,0,0,0,0,0,0,0,0,1531
30121,Genin_Nevoa,Genin Nevoa,Genin Nevoa,60,43575,0,1011,1205,1,680,1360,54,21,38,19,23,24,48,22,10,12,1,7,80,0x0203695,180,1152,384,288,0,0,0,0,0,0,0,2004,1000,3002,5000,5002,5000,8000,5000,0,0,0,0,0,0,0,0,0,0,0,0,1531
30122,Genin_Nuvem,Genin Nuvem,Genin Nuvem,60,43575,1,1011,1205,1,680,1360,54,21,38,19,23,24,48,22,10,12,1,7,80,0x0203695,180,1152,384,288,0,0,0,0,0,0,0,2005,1000,3002,5000,5002,5000,8000,5000,0,0,0,0,0,0,0,0,0,0,0,0,1531
30123,Genin_Pedra,Genin Pedra,Genin Pedra,60,43575,1,1011,1205,1,680,1360,54,21,38,19,23,24,48,22,10,12,1,7,80,0x0203695,180,1152,384,288,0,0,0,0,0,0,0,2006,1000,3002,5000,5002,5000,8000,5000,0,0,0,0,0,0,0,0,0,0,0,0,1531
30124,Genin_Som,Genin Som,Genin Som,60,43575,1,1011,1205,1,680,1360,54,21,38,19,23,24,48,22,10,12,1,7,80,0x0203695,180,1152,384,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1531
30044,Hinata,Hinata,Hinata,61,44625,1,2728,2685,1,699,1398,55,22,39,19,24,25,49,22,10,12,1,7,80,0x0003695,180,1000,660,432,0,0,0,0,0,0,0,1020,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1556
1126,GOBLIN_5,Goblin,Goblin,61,47850,1,2728,2685,1,706,1412,56,12,39,19,26,2,43,23,10,12,1,7,21,0x308D,300,3074,1874,480,0,0,0,0,0,0,0,998,150,911,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1556
1035,HUNTER_FLY,Hunter Fly,Hunter Fly,63,49500,1,2818,2774,1,728,1456,58,13,40,20,27,2,45,24,10,12,0,4,44,0x2003885,150,676,576,480,0,0,0,0,0,0,0,996,30,999,100,943,5335,912,1300,756,129,0,0,0,0,0,0,0,0,0,0,2069
1127,HODE,Hode,Hode,63,49500,1,2818,2774,1,728,1456,58,13,40,20,27,2,45,24,10,12,1,2,42,0x81,200,1480,480,720,0,0,0,0,0,0,0,993,120,1055,9000,757,80,938,3000,0,0,7021,1,632,20,0,0,0,0,0,0,2069
1139,MANTIS,Mantis,Mantis,65,51150,1,2907,2862,1,748,1496,60,13,41,21,28,2,46,25,10,12,1,4,22,0x2003095,200,1528,660,432,0,0,0,0,0,0,0,993,110,1031,9000,911,1400,757,70,943,250,721,10,0,0,0,0,0,0,0,0,2135
1279,TRI_JOINT,Tri Joint,Tri Joint,66,51700,0,2952,2906,1,763,1526,61,13,42,21,28,2,47,25,10,12,0,4,22,0x2003695,200,860,660,624,0,0,0,0,0,0,0,7053,100,943,380,0,0,993,160,1001,140,0,0,757,106,0,0,0,0,0,0,2167
1381,GRIZZLY,Grizzly,Grizzly,66,51700,1,2952,2906,1,763,1526,61,13,42,21,28,2,47,25,10,12,2,2,63,0x3885,165,1492,1092,192,0,0,0,0,0,0,0,948,5000,919,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2167
30052,Kiba,Kiba,Kiba,68,49350,1,3042,2994,1,784,1568,61,24,43,22,26,28,55,25,10,12,1,7,80,0x6003695,180,1000,720,432,0,0,0,0,0,0,0,10056,1500,2038,100,3026,100,5026,100,0,0,0,0,0,0,0,0,0,0,0,0,2233
1091,DRAGON_FLY,Dragon Fly,Dragon Fly,68,53350,1,3042,2994,1,783,1566,63,14,43,22,29,2,48,26,10,12,0,4,24,0x0203695,100,1076,576,480,0,0,0,0,0,0,0,0,0,0,0,719,1500,742,2000,0,0,625,50,0,0,0,0,0,0,0,0,2233
1211,BRILIGHT,Brilight,Brilight,71,55550,1,3176,5581,1,818,1636,66,14,45,23,30,2,50,27,10,12,0,4,23,0x2003095,200,1500,500,1000,0,0,0,0,0,0,0,7009,5335,992,200,912,1200,7938,100,757,220,0,0,0,0,0,0,0,0,0,0,2332
30086,Shino,Shino,Shino,72,52500,1,3221,5659,1,818,1636,65,26,46,23,28,29,58,26,10,12,1,7,80,0x6003695,180,1000,1092,192,0,0,0,0,0,0,0,10074,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2364
1180,NINE_TAIL,Nine Tail,Nine Tail,72,56650,1,3221,5659,1,822,1644,67,15,45,23,31,2,51,27,10,12,1,2,63,0x3695,150,840,540,480,0,0,0,0,0,0,0,1022,4656,746,200,603,100,0,0,0,0,0,0,756,100,0,0,0,0,0,0,2364
1243,SASQUATCH,Sasquatch,Sasquatch,72,56650,1,3221,5659,1,822,1644,67,15,45,23,31,2,51,27,10,12,2,2,60,0x3695,300,1260,192,192,0,0,0,0,0,0,0,912,1500,0,0,949,1000,0,0,948,5000,727,30,757,90,0,0,0,0,0,0,2364
1140,MARDUK,Marduk,Marduk,73,57200,1,3265,5738,1,840,1680,67,15,46,23,31,2,52,28,10,12,2,7,23,0x3095,300,1540,840,504,0,0,0,0,0,0,0,994,35,1045,4365,0,0,0,0,0,0,0,0,642,20,0,0,0,0,0,0,2397
30059,Lee,Lee,Lee,75,54600,1,3355,5895,1,848,1696,68,27,48,24,29,30,60,27,10,12,1,7,80,0x6003695,180,1000,1440,672,0,0,0,0,0,0,0,10091,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2463
1099,ARGIOPE,Argiope,Argiope,75,58850,1,3355,5895,1,861,1722,69,15,47,24,32,2,53,29,10,12,2,4,25,0x2003695,300,1792,792,336,0,0,0,0,0,0,0,1042,5335,912,1200,757,175,0,0,0,0,719,10,0,0,0,0,0,0,0,0,2463
1260,DARK_FRAME,Dark Frame,Dark Frame,76,59400,1,3400,5974,1,875,1750,70,15,48,24,32,2,54,29,10,12,1,6,67,0x2003695,200,920,720,200,0,0,0,0,0,0,0,7054,4656,734,1000,0,0,0,0,0,0,1000,80,747,3,0,0,0,0,0,0,2496
1500,PARASITE,Parasite,Parasite,76,59400,1,3400,5974,8,875,1750,70,15,48,24,32,2,54,29,10,12,1,3,44,0x84,400,864,864,672,0,0,0,0,0,0,0,7193,5500,7194,2000,7186,3880,7198,1500,0,0,0,0,6265,800,0,0,0,0,0,0,2496
1293,CREMY_FEAR,Creamy Fear,Creamy Fear,77,60500,0,3444,6052,2,888,1776,71,15,49,24,33,2,54,29,10,12,0,4,24,0x2003695,155,1136,720,840,0,0,0,0,0,0,0,924,4550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2529
30071,Neji,Neji,Neji,79,57750,1,3534,6209,1,903,1806,72,28,50,25,31,32,64,29,10,12,1,7,80,0x6003695,180,1000,864,672,0,0,0,0,0,0,0,10029,1500,2019,100,3007,100,5007,100,0,0,0,0,0,0,0,0,0,0,0,0,2594
30113,Tenten,Tenten,Tenten,81,58800,1,29555,14320,1,928,1856,73,29,52,26,31,33,65,30,10,12,1,7,80,0x6003695,180,1000,780,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2660
1213,HIGH_ORC,High Orc,High Orc,81,63800,1,29555,14320,1,930,1860,75,16,51,26,35,2,57,31,10,12,2,7,43,0x3695,150,1500,500,1000,0,0,0,0,0,0,0,7002,2500,0,0,999,90,931,7500,912,1300,756,196,0,0,0,0,0,0,0,0,2660
